trust_1	populism_1	populism_2	populism_3	populism_4	populism_5	age	gender	hhi	hispanic	cov_beh_sum	cons_biowpn	cons_covax	cons_biowpn_dummy	cons_covax_dummy	white	highered	idlg	pid3	pid2	md_radio	md_national	md_broadcast	md_localtv	md_localpap	md_fox	md_con	md_agg	weight	rw_news	ms_news
4	3	3	2	3	2	66	2	16	0	11.0	2.0	1.0	0.0	0.0	1.0	0.0	4.0	1.0	1.0	1.0	3.0	4.0	4.0	2.0	1.0	1.0	1.0	0.9664874	1.0	2.5
3	3	4	4	3	4	40	1	17	0	4.0	4.0	3.0	1.0	1.0	1.0	1.0	3.0	1.0	1.0	2.0	4.0	4.0	4.0	3.0	4.0	3.0	3.0	0.68068993	3.5	3.3333333
2	2	3	3	2	3	20	1	8	0	10.0	2.0	3.0	0.0	1.0	0.0	0.0	5.0	3.0	2.0	3.0	2.0	4.0	2.0	3.0	2.0	2.0	4.0	1.4648074	2.0	3.0
3	3	3	3	3	3	81	2	4	0	9.0	2.0	2.0	0.0	0.0	1.0	0.0	3.0	1.0	1.0	2.0	1.0	4.0	4.0	2.0	2.0	3.0	1.0	0.9664874	2.5	2.3333333
4	4	4	4	3	3	36	2	12	0	20.0	2.0	2.0	0.0	0.0	1.0	0.0	4.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	0.9664874	1.0	1.1666666
3	3	4	2	2	2	78	2	19	0	16.0	3.0	1.0	1.0	0.0	1.0	0.0		3.0	2.0	1.0	3.0	1.0	3.0	3.0	4.0	4.0	3.0	0.9664874	4.0	2.3333333
2	1	3	1	1	1	34	2	1	0	2.0	2.0	2.0	0.0	0.0	0.0	0.0	6.0	3.0	2.0	3.0	1.0	4.0	4.0	2.0	3.0	1.0	1.0	1.4648074	2.0	2.5
3	4	4	1	4	3	73	2	1	0	16.0	4.0	1.0	1.0	0.0	1.0	1.0	7.0	3.0	2.0	4.0	3.0	4.0	3.0	3.0	4.0	4.0	3.0	0.68068993	4.0	3.3333333
4	3	3	3	2	2	47	2	4	0	7.0	1.0	2.0	0.0	0.0	1.0	0.0	3.0	2.0	1.0	1.0	2.0	3.0	3.0	3.0	3.0	1.0	1.0	0.9664874	2.0	2.1666667
3	3	3	3	2	2	67	2	15	0	14.0	1.0	1.0	0.0	0.0	1.0	0.0		2.0	2.0	1.0	1.0	1.0	3.0	3.0	1.0	1.0	1.0	0.9664874	1.0	1.6666666
4	4	4	3	3	4	38	1	20	0	3.0	3.0	4.0	1.0	1.0	1.0	1.0		3.0	2.0	4.0	3.0	4.0	4.0	4.0	3.0	4.0	4.0	0.68068993	3.5	3.8333333
1	4	4	3	4	2	34	1	7	0	10.0	4.0	3.0	1.0	1.0	1.0	0.0	6.0	2.0	2.0	1.0	2.0	1.0	4.0	3.0	4.0	4.0	1.0	0.9664874	4.0	2.0
4	4	3	3	3	4	25	2	1	0	18.0	3.0	4.0	1.0	1.0	1.0	1.0	4.0	3.0	2.0	3.0	3.0	3.0	3.0	4.0	4.0	4.0	4.0	0.68068993	4.0	3.3333333
3	2	4	3	3	2	26	1	1	0	1.0	1.0	2.0	0.0	0.0	1.0	1.0	4.0	2.0	2.0	3.0	3.0	3.0	3.0	3.0	2.0	3.0	2.0	0.68068993	2.5	2.8333333
3	2	3	3	3	3	46	2	9	0	13.0	2.0	2.0	0.0	0.0	0.0	0.0	4.0	2.0	1.0	1.0	4.0	4.0	4.0	4.0	4.0	2.0	3.0	1.4648074	3.0	3.3333333
4	4	4	1	2	2	58	2	10	0	14.0	2.0	2.0	0.0	0.0	1.0	0.0		3.0	2.0	4.0	2.0	4.0	4.0	1.0	2.0	2.0	3.0	0.9664874	2.0	3.0
4	4	3	3	4	4	50	1	21	0	8.0	3.0	4.0	1.0	1.0	1.0	1.0	1.0	3.0	2.0	4.0	3.0	3.0	4.0	4.0	3.0	4.0	3.0	0.68068993	3.5	3.5
3	3	2	4	3	3	74	2	2	0	8.0	4.0	4.0	1.0	1.0	1.0	0.0	4.0			1.0	1.0	3.0	3.0	1.0	1.0	1.0	1.0	0.9664874	1.0	1.6666666
4	4	3	4	4	3	39	1	20	0	6.0	4.0	4.0	1.0	1.0	1.0	1.0	1.0	3.0	2.0	4.0	3.0	4.0	3.0	4.0	3.0	4.0	3.0	0.68068993	3.5	3.5
3	2	3	2	2	2	43	2	1	0	7.0	2.0	2.0	0.0	0.0	1.0	0.0	4.0	2.0	2.0	1.0	1.0	1.0	3.0	3.0	1.0	1.0	3.0	0.9664874	1.0	2.0
4	3	4	2	4	4	21	1	1	0	1.0	3.0	4.0	1.0	1.0	1.0	1.0	4.0	3.0	2.0	1.0	1.0	3.0	3.0	1.0	1.0	1.0	1.0	0.68068993	1.0	1.6666666
3	2	3	2	3	3	77	2	11	0	13.0	3.0	1.0	1.0	0.0	1.0	0.0	6.0	3.0	2.0	1.0	1.0	4.0	4.0	1.0	4.0	1.0	1.0	0.9664874	2.5	2.0
3	4	4	4	4	1	54	2	1	0	12.0	1.0	1.0	0.0	0.0	0.0	0.0	6.0			1.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0	1.4648074	1.0	1.3333334
4	4	3	3	3	2	26	2	1	0	11.0	3.0	2.0	1.0	0.0	1.0	0.0		1.0	1.0	3.0	2.0	3.0	4.0	3.0	1.0	1.0	1.0	0.9664874	1.0	2.6666667
2	4	3	4	3	3	34	1	19	0	2.0	4.0	3.0	1.0	1.0	1.0	1.0	5.0	2.0	2.0	2.0	3.0	4.0	3.0	1.0	2.0	1.0	1.0	0.68068993	1.5	2.3333333
4	4	4	4	4	1	18	1	24	0	13.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0			1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9664874	1.0	1.0
4	3	3	4	3	3	58	1	20	0	9.0	1.0	1.0	0.0	0.0	1.0	0.0		2.0	2.0	1.0	1.0	4.0	4.0	4.0	1.0	1.0	1.0	0.9664874	1.0	2.5
3	3	4	4	3	2	41	2	1	0	12.0	3.0	1.0	1.0	0.0	1.0	0.0	5.0	2.0	2.0	1.0	1.0	3.0	3.0	1.0	1.0	1.0	1.0	0.9664874	1.0	1.6666666
4	4	4	4	4	4	41	2	3	0	21.0	2.0	2.0	0.0	0.0	1.0	1.0	4.0	1.0	1.0	3.0	2.0	3.0	4.0	1.0	3.0	1.0	1.0	0.68068993	2.0	2.3333333
4	4	4	4	4	4	34	1	24	0	18.0	4.0	4.0	1.0	1.0	1.0	1.0		3.0	2.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	0.68068993	4.0	4.0
4	2	3	2	1	1	38	2	19	0	13.0	1.0	1.0	0.0	0.0	1.0	0.0	4.0	2.0	1.0	4.0	4.0	1.0	1.0	3.0	1.0	1.0	1.0	0.9664874	1.0	2.3333333
4	3	3	3	3	3	44	2	6	0	16.0	1.0	2.0	0.0	0.0	1.0	0.0	4.0	1.0	1.0	3.0	4.0	3.0	4.0	3.0	4.0	4.0	4.0	0.9664874	4.0	3.5
3	3	3	3	3	3	27	2	3	0	10.0	1.0	1.0	0.0	0.0	0.0	0.0		2.0	2.0	1.0	1.0	3.0	3.0	1.0	1.0	1.0	1.0	1.4648074	1.0	1.6666666
3	3	3	2	2	2	21	1	9	1	5.0	1.0	2.0	0.0	0.0		0.0				2.0	2.0	1.0	2.0	2.0	1.0	1.0	2.0		1.0	1.8333334
3	3	4	3	3	3	29	2	5	0	4.0	3.0	4.0	1.0	1.0	1.0	0.0	6.0	3.0	2.0	3.0	3.0	2.0	3.0	4.0	3.0	3.0	4.0	0.9664874	3.0	3.1666667
4	4	4	1	4	1	26	2	4	0	13.0	4.0	4.0	1.0	1.0	1.0	0.0	7.0	3.0	2.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	0.9664874	4.0	4.0
4	2	2	3	1	3	31	1	6	0	5.0	2.0	1.0	0.0	0.0	1.0	1.0	4.0	3.0	2.0	3.0	1.0	3.0	3.0	3.0	3.0	2.0	3.0	0.68068993	2.5	2.6666667
3	3	3	4	3	3	29	2	9	0	1.0	2.0	2.0	0.0	0.0	1.0	1.0	4.0	2.0		2.0	1.0	2.0	3.0	1.0	2.0	1.0	1.0	0.68068993	1.5	1.6666666
3	1	3	2	1	3	20	1	18	0	11.0	1.0	1.0	0.0	0.0	0.0	0.0	6.0	1.0	1.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	1.4648074	4.0	4.0
3	3	4	3	3	3	34	1	19	1	11.0	1.0	1.0	0.0	0.0	0.0	1.0	2.0	1.0	1.0	3.0	3.0	3.0	4.0	3.0	4.0	3.0	3.0	1.3037325	3.5	3.1666667
3	3	3	2	3	3	35	2	4	0	5.0	2.0	3.0	0.0	1.0	1.0	0.0	1.0	3.0	2.0	2.0	3.0	3.0	4.0	3.0	3.0	3.0	4.0	0.9664874	3.0	3.1666667
4	4	4	2	3	1	35	2	7	0	14.0	1.0	4.0	0.0	1.0	0.0	1.0	2.0	1.0	1.0	3.0	4.0	4.0	4.0	2.0	2.0	2.0	4.0	1.0316527	2.0	3.5
4	3	3	1	3	1	33	2	3	0	14.0	2.0	3.0	0.0	1.0	0.0	1.0	4.0	1.0	1.0	3.0	4.0	4.0	4.0	4.0	1.0	3.0	2.0	1.0316527	2.0	3.5
3	3	2	2	3	3	33	2	4	0	6.0	2.0	2.0	0.0	0.0	1.0	0.0	3.0	1.0	1.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	2.0	0.9664874	3.0	2.8333333
2	2	2	1	1	1	28	2	1	0	5.0	1.0	1.0	0.0	0.0	0.0	0.0	3.0	1.0	1.0	2.0	2.0	3.0	2.0	2.0	3.0	1.0	3.0	1.4648074	2.0	2.3333333
4	4	4	3	3	1	60	2	5	0	12.0	2.0	1.0	0.0	0.0	0.0	0.0	2.0	1.0	1.0	4.0	4.0	4.0	4.0	3.0	1.0	1.0	4.0	1.4648074	1.0	3.8333333
4	3	3	3	3	3	40	2	7	0	3.0	4.0	1.0	1.0	0.0	1.0	1.0	4.0	2.0	1.0	3.0	3.0	3.0	4.0	4.0	3.0	1.0	1.0	0.68068993	2.0	3.0
4	4	4	3	3	3	36	2	22	0	5.0	4.0	4.0	1.0	1.0	1.0	1.0	7.0	1.0	1.0	4.0	4.0	4.0	3.0	3.0	3.0	4.0	3.0	0.68068993	3.5	3.5
1	4	4	3	3	3	34	1	23	0	2.0	4.0	4.0	1.0	1.0	1.0	0.0	7.0	3.0	2.0	1.0	3.0	3.0	2.0	2.0	2.0	2.0	3.0	0.9664874	2.0	2.3333333
3	2	1	1	3	3	25	2	13		16.0	2.0	3.0	0.0	1.0		0.0	5.0	1.0	1.0	4.0	2.0	3.0	3.0	2.0	1.0	2.0	2.0		1.5	2.6666667
3	3	4	3	3	2	57	2	1	1	9.0	2.0	2.0	0.0	0.0	1.0	0.0	4.0	2.0	1.0	1.0	1.0	1.0	3.0	1.0	3.0	1.0	1.0	1.2213807	2.0	1.3333334
2	2	3	3	2	2	29	2	18	0	9.0	2.0	2.0	0.0	0.0	1.0	1.0	2.0	1.0	1.0	3.0	4.0	4.0	3.0	4.0	3.0	2.0	4.0	0.68068993	2.5	3.6666667
4	3	4	3	3	3	67	2	12	0	13.0	1.0	1.0	0.0	0.0	1.0	0.0	6.0	3.0	2.0	2.0	1.0	3.0	4.0	4.0	4.0	3.0	1.0	0.9664874	3.5	2.5
3	4	1	4	1	4	47	2	2	0	6.0	2.0	1.0	0.0	0.0	1.0	0.0	7.0	2.0	2.0	1.0	1.0	4.0	4.0	1.0	1.0	1.0	1.0	0.9664874	1.0	2.0
3	4	4	4	4	2	18	2	5	0	7.0	2.0	3.0	0.0	1.0	1.0	0.0	3.0	2.0	1.0	1.0	3.0	3.0	1.0	1.0	2.0	1.0	1.0	0.9664874	1.5	1.6666666
4	4	1	2	2	3	25	1	19	0	14.0	4.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0	0.68068993	1.0	1.5
4	1	4	3	2	3	42	1	20	0	14.0	3.0	4.0	1.0	1.0	1.0	1.0	1.0	3.0	2.0	4.0	3.0	4.0	4.0	3.0	4.0	3.0	3.0	0.68068993	3.5	3.5
4	4	3	4	1	1	58	2	21	0	14.0	1.0	1.0	0.0	0.0	0.0	1.0	2.0	1.0	1.0	2.0	4.0	3.0	2.0	3.0	1.0	1.0	2.0	1.0316527	1.0	2.6666667
4	2	4	3	1	1	77	2	19	0	14.0	1.0	1.0	0.0	0.0	1.0	0.0	6.0	3.0	2.0	2.0	2.0	2.0	3.0	4.0	1.0	1.0	1.0	0.9664874	1.0	2.3333333
4	3	4	1	4	1	26	2	1	1	1.0	2.0	3.0	0.0	1.0	0.0	0.0	5.0	1.0	1.0	4.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	1.8511235	3.0	3.1666667
4	3	2	3	2	2	43	2	19	0	18.0	3.0	3.0	1.0	1.0	1.0	1.0	5.0	3.0	2.0	1.0	1.0	3.0	4.0	1.0	1.0	1.0	1.0	0.68068993	1.0	1.8333334
3	3	2	2	2	2	24	2	9	0	1.0	3.0	3.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	3.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	1.0316527	4.0	3.8333333
3	4	4	3	2	1	52	1	9	0	9.0	1.0	1.0	0.0	0.0	1.0	1.0	6.0	3.0	2.0	3.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	0.68068993	1.0	1.5
3	2	3	3	3	3	37	2	1	0	8.0	2.0	2.0	0.0	0.0	1.0	0.0		1.0	1.0	1.0	1.0	3.0	3.0	1.0	3.0	1.0	3.0	0.9664874	2.0	2.0
3	1	1	1	1	1	38	2	4	0	4.0	1.0	3.0	0.0	1.0	1.0	0.0	4.0	3.0	2.0	4.0	1.0	4.0	4.0	4.0	4.0	1.0	3.0	0.9664874	2.5	3.3333333
3	3	3	3	3	1	38	2	3	0	15.0	1.0	1.0	0.0	0.0	1.0	1.0	2.0	1.0	1.0	1.0	2.0	2.0	2.0	2.0	1.0	1.0	3.0	0.68068993	1.0	2.0
3	1	4	1	2	1	51	2	19	0	15.0	1.0	1.0	0.0	0.0	1.0	1.0	6.0	3.0	2.0	3.0	3.0	4.0	3.0	2.0	1.0	1.0	1.0	0.68068993	1.0	2.6666667
3	4	4	4	3	1	31	1	1	0	3.0	1.0	4.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	3.0	1.0	3.0	2.0	1.0	1.0	1.0	3.0	1.4648074	1.0	2.1666667
4	3	3	3	3	2	35	2	3	0	7.0	1.0	1.0	0.0	0.0	1.0	1.0	6.0	3.0	2.0	1.0	1.0	3.0	3.0	2.0	2.0	1.0	3.0	0.68068993	1.5	2.1666667
4	2	3	2	3	1	61	2	1	0	3.0	1.0	2.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0	4.0	3.0	1.0	1.0	1.0	1.0316527	1.0	2.1666667
3	4	2	4	4	3	25	2	6	0	5.0	4.0	4.0	1.0	1.0	1.0	1.0	5.0	3.0	2.0	4.0	1.0	1.0	3.0	1.0	1.0	1.0	1.0	0.68068993	1.0	1.8333334
1	4	2	1	3	4	63	2	3	0	3.0	4.0	1.0	1.0	0.0	1.0	0.0	7.0	3.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9664874	1.0	1.0
3	3	2	2	2	2	35	2	22	0	10.0	3.0	3.0	1.0	1.0	1.0	0.0	4.0	3.0	2.0	3.0	3.0	3.0	4.0	1.0	1.0	1.0	1.0	0.9664874	1.0	2.5
3	4	1	3	2	3	34	2	18	0	7.0	4.0	3.0	1.0	1.0	1.0	0.0	3.0	1.0	1.0	3.0	4.0	4.0	3.0	3.0	4.0	4.0	4.0	0.9664874	4.0	3.5
3	3	1	3	2	3	35	1	3	1	13.0	3.0	1.0	1.0	0.0	1.0	0.0	2.0	3.0	2.0	3.0	2.0	2.0	3.0	1.0	2.0	3.0	3.0	1.2213807	2.5	2.3333333
2	3	4	2	3	2	48	2	1	0	11.0	3.0	2.0	1.0	0.0	1.0	0.0	6.0	1.0	1.0	1.0	1.0	4.0	4.0	1.0	1.0	1.0	1.0	0.9664874	1.0	2.0
4	3	4	3	4	3	39	1	21	0	4.0	4.0	3.0	1.0	1.0	1.0	1.0	1.0			3.0	4.0	3.0	3.0	4.0	3.0	4.0	4.0	0.68068993	3.5	3.5
3	3	3	2	3	2	59	1	2	0	8.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	2.0	3.0	4.0	3.0	2.0	2.0	2.0	3.0	0.9664874	2.0	2.8333333
4	3	3	2	2	1	72	2	19	0	15.0	1.0	1.0	0.0	0.0	1.0	1.0		1.0	1.0	1.0	4.0	3.0	4.0	4.0	1.0	1.0	3.0	0.68068993	1.0	3.1666667
4	4	4	3	3	1	33	2	3	0	11.0	1.0	2.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	3.0	2.0	2.0	4.0	1.0	1.0	3.0	0.9664874	1.0	2.5
2	3	3	2	4	3	34	1	5	1	6.0	3.0	3.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	2.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	1.8511235	3.0	2.8333333
3	1	3	1	2	4	63	2	7	0	14.0	2.0	2.0	0.0	0.0	1.0	0.0	6.0	3.0	2.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	0.9664874	1.5	1.0
3	1	3	3	2	1	34	1	3	0	13.0	4.0	4.0	1.0	1.0	1.0	0.0	4.0	3.0	2.0	1.0	1.0	4.0	4.0	1.0	3.0	1.0	1.0	0.9664874	2.0	2.0
2	2	3	2	4	4	29	2	5	0	3.0	3.0	2.0	1.0	0.0	1.0	1.0	7.0	3.0	2.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	0.68068993	1.0	1.3333334
3	2	2	3	3	3	20	2	1	0	1.0	2.0	3.0	0.0	1.0	1.0	0.0	4.0	3.0	2.0	4.0	4.0	4.0	3.0	3.0	3.0	4.0	4.0	0.9664874	3.5	3.6666667
3	3	3	3	3	3	25	2	8	0	4.0	3.0	4.0	1.0	1.0	0.0	0.0	5.0	1.0	1.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	1.4648074	3.0	3.0
4	3	4	1	1	1	67	1	3	0	18.0	4.0	1.0	1.0	0.0	1.0	0.0	6.0	3.0	2.0	1.0	1.0	3.0	3.0	1.0	4.0	4.0	3.0	0.9664874	4.0	2.0
3	3	3	3	3	3	61	2	19	0	18.0	2.0	2.0	0.0	0.0	1.0	1.0		2.0	1.0	3.0	1.0	4.0	4.0	1.0	2.0	1.0	1.0	0.68068993	1.5	2.3333333
4	3	3	2	3	3	60	2	11	0	5.0	2.0	3.0	0.0	1.0	1.0	1.0	4.0	3.0	2.0	1.0	1.0	4.0	4.0	1.0	1.0	1.0	1.0	0.68068993	1.0	2.0
4	3	3	3	2	3	73	1	9	0	14.0	3.0	2.0	1.0	0.0	1.0	0.0	6.0	3.0	2.0	2.0	1.0	3.0	4.0	1.0	3.0	1.0	1.0	0.9664874	2.0	2.0
4	4	4	1	2	1	34	2	4	0	4.0	1.0	2.0	0.0	0.0	0.0	0.0	4.0	1.0	1.0	3.0	1.0	1.0	4.0	1.0	3.0	1.0	1.0	1.4648074	2.0	1.8333334
2	4	4	3	4	4	28	2	1	0	18.0	4.0	4.0	1.0	1.0	0.0	0.0	7.0	2.0	2.0	4.0	2.0	3.0	3.0	4.0	3.0	4.0	3.0	1.4648074	3.5	3.1666667
4	4	4	4	2	1	36	2	1	0	7.0	2.0	2.0	0.0	0.0	1.0	1.0	2.0	1.0	1.0	1.0	2.0	1.0	1.0	2.0	1.0	1.0	1.0	0.68068993	1.0	1.3333334
4	3	3	3	2	1	41	1	7	0	13.0	1.0	1.0	0.0	0.0	1.0	1.0	5.0	3.0	2.0	2.0	3.0	4.0	4.0	3.0	4.0	1.0	1.0	0.68068993	2.5	2.8333333
3	4	3	2	3	2	66	2	4	0	11.0	4.0	1.0	1.0	0.0	1.0	0.0	7.0	3.0	2.0	3.0	2.0	4.0	4.0	2.0	2.0	3.0	1.0	0.9664874	2.5	2.6666667
4	3	4	2	2	1	77	1	14	0	17.0	1.0	2.0	0.0	0.0	1.0	1.0	2.0	1.0	1.0	4.0	3.0	4.0	4.0	3.0	1.0	1.0	2.0	0.68068993	1.0	3.3333333
4	2	3	3	2	3	33	2	4	0	11.0	3.0	2.0	1.0	0.0	1.0	0.0	3.0	1.0	1.0	3.0	3.0	3.0	3.0	4.0	4.0	3.0	3.0	0.9664874	3.5	3.1666667
4	4	4	4	3	4	40	1	21	0	11.0	4.0	4.0	1.0	1.0	1.0	1.0		3.0	2.0	4.0	4.0	3.0	4.0	3.0	4.0	4.0	4.0	0.68068993	4.0	3.6666667
3	4	3	3	2	1	55	2	3	0	10.0	4.0	4.0	1.0	1.0	1.0	0.0	6.0	3.0	2.0	1.0	3.0	2.0	2.0	3.0	1.0	2.0	1.0	0.9664874	1.5	2.0
4	1	3	1	1	3	45	1	4		12.0	2.0	1.0	0.0	0.0		0.0	5.0	2.0	1.0	3.0	1.0	4.0	4.0	1.0	4.0	1.0	1.0		2.5	2.3333333
3	3	3	3	2	2	34	2	5	0	16.0	2.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	3.0	3.0	3.0	3.0	2.0	2.0	1.0	3.0	0.68068993	1.5	2.8333333
4	3	3	2	3	3	46	1	6	1	5.0	2.0	2.0	0.0	0.0	0.0	1.0	4.0	1.0	1.0	3.0	2.0	4.0	4.0	2.0	3.0	3.0	2.0	1.3037325	3.0	2.8333333
3	4	4	4	4	2	41	2	18	0	18.0	1.0	1.0	0.0	0.0	1.0	0.0	2.0	1.0	1.0	3.0	4.0	4.0	4.0	4.0	3.0	4.0	3.0	0.9664874	3.5	3.6666667
4	2	4	1	2	1	55	1	23	1	9.0	1.0	1.0	0.0	0.0	0.0	0.0	7.0	3.0	2.0	4.0	3.0	4.0	3.0	4.0	2.0	4.0	4.0	1.8511235	3.0	3.6666667
4	3	4	3	4	3	33	1	20	0	12.0	4.0	4.0	1.0	1.0	1.0	1.0	1.0	3.0	2.0	4.0	4.0	4.0	3.0	4.0	4.0	4.0	3.0	0.68068993	4.0	3.6666667
4	4	3	3	2	4	25	2	19	0	2.0	4.0	3.0	1.0	1.0	0.0	1.0	1.0	2.0	2.0	3.0	4.0	3.0	2.0	4.0	3.0	4.0	4.0	1.0316527	3.5	3.3333333
3	3	4	4	4	3	55	2	4	0	15.0	3.0	1.0	1.0	0.0	1.0	0.0	6.0	3.0	2.0	2.0	1.0	2.0	4.0	4.0	2.0	1.0	1.0	0.9664874	1.5	2.3333333
3	3	3	3	3	3	36	2	9	0	2.0	3.0	3.0	1.0	1.0	1.0	1.0	4.0	2.0	2.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	0.68068993	3.0	3.0
3	4	4	1	4	3	84	2	19	0	15.0	2.0	2.0	0.0	0.0	1.0	0.0	7.0	3.0	2.0	3.0	1.0	1.0	4.0	1.0	4.0	4.0	1.0	0.9664874	4.0	1.8333334
3	3	3	2	2	2	22	2	7	1	18.0	1.0	1.0	0.0	0.0	0.0	1.0	2.0	1.0	1.0	3.0	3.0	3.0	3.0	3.0	1.0	1.0	2.0	1.3037325	1.0	2.8333333
4	3	3	3	4	1	75	2	9	0	18.0	1.0	1.0	0.0	0.0	1.0	1.0	2.0	1.0	1.0	3.0	3.0	4.0	3.0	3.0	2.0	1.0	2.0	0.68068993	1.5	3.0
4	3	3	3	3	2	42	2	6	0	21.0	3.0	2.0	1.0	0.0	1.0	0.0	3.0	2.0	1.0	4.0	3.0	4.0	4.0	3.0	3.0	4.0	4.0	0.9664874	3.5	3.6666667
3	3	3	3	3	3	29	2	1	0	9.0	1.0	2.0	0.0	0.0	1.0	0.0	2.0	2.0	1.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	0.9664874	3.0	3.0
3	3	4	4	3	2	24	2	8	0	8.0	4.0	3.0	1.0	1.0	0.0	1.0	2.0	1.0	1.0	3.0	4.0	3.0	3.0	4.0	3.0	3.0	4.0	1.0316527	3.0	3.5
2	2	1	1	2	3	38	1	18	0	5.0	3.0	2.0	1.0	0.0	0.0	1.0	2.0	1.0	1.0	2.0	1.0	3.0	2.0	3.0	2.0	2.0	1.0	1.0316527	2.0	2.0
3	3	2	2	3	2	32	2	4	0	19.0	2.0	3.0	0.0	1.0	1.0	0.0	5.0	3.0	2.0	2.0	2.0	3.0	4.0	2.0	2.0	2.0	2.0	0.9664874	2.0	2.5
3	2	2	2	2	2	31	2	7	0	12.0	4.0	4.0	1.0	1.0	1.0	0.0	6.0	2.0	2.0	1.0	1.0	1.0	3.0	1.0	1.0	1.0	1.0	0.9664874	1.0	1.3333334
3	4	2	1	3	2	53	2	2	0	14.0	4.0	3.0	1.0	1.0	1.0	0.0	4.0	1.0	1.0	1.0	2.0	4.0	4.0	1.0	1.0	1.0	1.0	0.9664874	1.0	2.1666667
4	4	4	3	4	4	35	1	14	0	1.0	3.0	4.0	1.0	1.0	1.0	1.0	7.0	3.0	2.0	4.0	4.0	3.0	4.0	4.0	3.0	4.0	4.0	0.68068993	3.5	3.8333333
4	4	4	4	3	4	38	2	6	0	2.0	4.0	4.0	1.0	1.0	0.0	0.0	5.0	2.0	2.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	1.4648074	3.0	3.0
4	4	4	2	1	1	53	2	12	0	14.0	4.0	1.0	1.0	0.0	1.0	1.0	6.0	3.0	2.0	2.0	2.0	2.0	3.0	3.0	4.0	2.0	2.0	0.68068993	3.0	2.3333333
4	3	3	3	2	2	79	2	5	0	14.0	3.0	2.0	1.0	0.0	1.0	0.0		2.0	2.0	2.0	2.0	4.0	4.0	2.0	3.0	1.0	1.0	0.9664874	2.0	2.5
3	4	4	3	3	2	47	2	8	0	11.0	4.0	4.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	4.0	4.0	3.0	1.0	1.0	1.0	1.0316527	1.0	2.3333333
3	3	4	4	3	2	23	2	1	0	8.0	2.0	3.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0	0.68068993	1.0	1.5
3	2	2	2	4	2	21	1	1	0	1.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	3.0	2.0	2.0	3.0	1.0	3.0	2.0	2.0	2.0	2.0	1.4648074	2.0	2.1666667
3	3	3	3	3	3	35	2	7	0	12.0	2.0	2.0	0.0	0.0	1.0	0.0	5.0	2.0	2.0	2.0	3.0	4.0	3.0	2.0	3.0	1.0	3.0	0.9664874	2.0	2.8333333
3	3	4	3	3	3	33	2	1	0	3.0	3.0	3.0	1.0	1.0	0.0	0.0	4.0	1.0	1.0	4.0	4.0	3.0	3.0	3.0	4.0	4.0	3.0	1.4648074	4.0	3.3333333
4	3	4	3	2	1	67	2	6	0	5.0	2.0	2.0	0.0	0.0	1.0	1.0		1.0	1.0	1.0	1.0	4.0	4.0	1.0	3.0	1.0	1.0	0.68068993	2.0	2.0
3	3	3	2	2	2	46	2	1	0	1.0	2.0	2.0	0.0	0.0	1.0	0.0		2.0	1.0	1.0	1.0	4.0	4.0	1.0	1.0	1.0	1.0	0.9664874	1.0	2.0
4	3	3	3	3	2	31	2	1	0	4.0	2.0	2.0	0.0	0.0	0.0	0.0	4.0	1.0	1.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	1.4648074	3.0	3.0
